codigo_a, codigo_b, nome, classe
2703,22,JD. GIANETTI / METRÔ ITAQUERA,Diurno
2703,21,JD. ETELVINA / METRÔ ITAQUERA,Diurno
2703,10,JD. ETELVINA / METRÔ ITAQUERA,Diurno
2704,10,JD. ROBRU / METRÔ ITAQUERA,Diurno
2705,10,JD. FANGANIELO / METRÔ ITAQUERA,Diurno
2707,31,CHABILÂNDIA / METRÔ ITAQUERA,Diurno
2707,10,CHABILÂNDIA / METRÔ ITAQUERA,Diurno
2708,10,JD. LAJEADO / METRÔ ITAQUERA,Diurno
2709,31,METRÔ PATRIARCA / VL. UNIÃO,Diurno
2709,10,METRÔ PATRIARCA / VL. UNIÃO,Diurno
2710,31,METRÔ PATRIARCA / TERM. A. E. CARVALHO,Diurno
2710,10,METRÔ PATRIARCA / BURGO PAULISTA,Diurno
2711,10,PONTE RASA / METRÔ PATRIARCA,Diurno
2712,10,JD. SÃO NICOLAU / SHOP. METRÔ ITAQUERA,Diurno
2713,10,METRÔ PENHA / CHÁC. BELA VISTA,Diurno
2714,10,METRÔ VL. MATILDE / VL. RUI BARBOSA,Diurno
2715,10,VL. SÍLVIA / METRÔ PATRIARCA,Diurno
2716,10,CHÁC. CRUZ. DO SUL / METRÔ PENHA,Diurno
2717,10,METRÔ GUILHERMINA/ESPERANÇA / CANGAÍBA,Diurno
2718,10,VL. SÍLVIA / METRÔ PENHA,Diurno
2719,10,ERMELINO MATARAZZO / METRÔ VL. MATILDE,Diurno
271A,51,CANGAÍBA / METRÔ SANTANA,Diurno
271A,10,TERM. PENHA / METRÔ SANTANA,Diurno
271C,10,PQ. VL. MARIA / TERM. PRINC. ISABEL,Diurno
271F,10,CENTER NORTE / METRÔ BELÉM     ,Diurno
271M,10,PQ. NOVO MUNDO / METRÔ SANTANA,Diurno
271P,10,CANGAÍBA / PÇA DO CORREIO,Diurno
2720,31,JD. BELÉM / METRÔ GUILHERMINA/ESPERANÇA,Diurno
2720,10,JD. BELÉM / METRÔ GUILHERMINA/ESPERANÇA,Diurno
2721,10,JD. NAZARÉ / METRÔ ITAQUERA,Diurno
2722,31,METRÔ GUILHERMINA/ESPERANÇA / JD. VERÔNIA,Diurno
2722,10,JD. VERONIA / METRÔ GUILHERMINA/ESPERANÇA,Diurno
2723,10,UNIÃO DE VL. NOVA / METRÔ ITAQUERA,Diurno
2724,10,METRÔ ARTUR ALVIM / CONJ. ARAUCÁRIA,Diurno
2725,10,METRÔ ARTUR ALVIM / JD. SÃO CARLOS,Diurno
2726,10,LIMOEIRO / METRÔ PENHA,Diurno
2727,10,METRÔ ARTUR ALVIM / CONJ. A. E. CARVALHO,Diurno
2728,10,JD. DO CASTELO / METRÔ PENHA,Diurno
272N,10,PQ. NOVO MUNDO / PQ. D. PEDRO II,Noturno
2730,10,VL. JACUI / METRÔ ARTUR ALVIM,Diurno
2731,10,VL. PROGRESSO / METRÔ ITAQUERA,Diurno
